term,variants,category,keep,source
arrogant,aarrogant|arrogaant|arrogantt|arroogant,,1,seed
assholes,aassholes|ashsholes|asshholes|assholees|assholesh|asshooles|assoles,,1,seed
atankwad,aatankwad|ataankwad|atancwad|atankwaad|atankwadd|atanqwad|attankwad,,1,seed
attack,aattack|atack|attaack|attacc|attacq|attakk|atttack,,1,seed
attacks,aattacks|atacks|attaacks|attaccs|attacksh|attacqs|attakks|atttacks,,1,seed
aukat,aaukat|aookat|aucat|aukaat|aukatt|auqat|auukat,,1,seed
aukkad,aaukkad|aookkad|auckad|aukcad|aukkaad|aukkadd|aukqad|auqkad|auukkad,,1,seed
aukkat,aaukkat|aookkat|auckat|aukcat|aukkaat|aukkatt|aukqat|auqkat|auukkat,,1,seed
bakwaas,baakwaas|bacwaas|bakwaaas|bakwaash|bakwas|baqwaas,,1,seed
bakwas,baakwas|bacwas|bakwaas|bakwash|baqwas,,1,seed
balatkari,baalatkari|balaatkari|balatcari|balatkaari|balatkara|balatkare|balatkaree|balatkarii|balatqari|balattkari,,1,seed
barbaad,baarbaad|barbaaad|barbaadd|barbad,,1,seed
bastard,baastard|bashtard|bastaard|bastardd|basttard,,1,seed
behuda,beehuda|behooda|behudaa|behuday|behudda|behude|behudi|behuuda,,1,seed
bhadwagiri,badwagiri|bhaadwagiri|bhaddwagiri|bhadwaagiri|bhadwageeri|bhadwagiiri|bhadwagira|bhadwagire|bhadwagiree|bhadwagirii,,1,seed
bhadwe,badwe|bhaadwe|bhaddwe|bhadwa|bhadwee|bhadwi,,1,seed
bhagoda,bagoda|bhaagoda|bhagodaa|bhagoday|bhagodda|bhagode|bhagodi|bhagooda,,1,seed
bhnchod,bhnchodd|bhnchood|bhnkhod|bnchod,,1,seed
bhosdi,bhoosdi|bhosda|bhosddi|bhosde|bhosdee|bhosdii|bhoshdi|bosdi,,1,seed
bhosri,bhoosri|bhoshri|bhosra|bhosre|bhosree|bhosrii|bosri,,1,seed
bitch,beetch|biitch|bitkh|bittch,,1,seed
bitching,beetching|biitching|bitcheeng|bitchiing|bitkhing|bittching,,1,seed
blame,blaame|blama|blamee|blami,,1,seed
blast,blaast|blasht|blastt,,1,seed
blasts,blaasts|blashts|blastsh|blastts,,1,seed
bloody,blooddy|bloodi|blooody|bludy|bluudy,,1,seed
brutal,brootal|brutaal|bruttal|bruutal,,1,seed
chaude,chaaude|chaoode|chauda|chaudde|chaudee|chaudi|chauude|khaude,,1,seed
chhi,chha|chhe|chhee|chhii|khhi,,1,seed
chii,cheei|chia|chie|chiee|chiii|khii,,1,seed
chor,choor|khor,,1,seed
chutiya,chootiya|chuteeya|chutiia|chutiiya|chutiyaa|chutiyay|chutiye|chutiyi|chuttiya|chuutiya|khutiya,,1,seed
chutiye,chootiye|chuteeye|chutiie|chutiiye|chutiya|chutiyee|chutiyi|chuttiye|chuutiye|khutiye,,1,seed
chutiyo,chootiyo|chuteeyo|chutiio|chutiiyo|chutiya|chutiye|chutiyoo|chuttiyo|chuutiyo|khutiyo,,1,seed
corrupt,coorrupt|corroopt|corruptt|corruupt|korrupt,,1,seed
corruption,coorruption|corrooption|corrupteeon|corruptiion|corruptioon|corrupttion|corruuption|korruption,,1,seed
crime,creeme|criime|crima|crimee|crimi|krime,,1,seed
criminal,creeminal|criiminal|crimeenal|crimiinal|criminaal|kriminal,,1,seed
dafa,daafa|dafaa|dafay|dafe|dafi|dapha|ddafa,,1,seed
dalali,daalali|dalaali|dalala|dalale|dalalee|dalalii|ddalali,,1,seed
dange,daange|danga|dangee|dangi|ddange,,1,seed
deshdroh,ddeshdroh|deeshdroh|desdroh|deshddroh|deshdrooh|deshhdroh,,1,seed
dhamki,damki|ddhamki|dhaamki|dhamci|dhamka|dhamke|dhamkee|dhamkii|dhamqi,,1,seed
dhoka,ddhoka|dhoca|dhokaa|dhokay|dhoke|dhoki|dhooka|dhoqa|doka,,1,seed
dirty,ddirty|deerty|diirty|dirti|dirtty,,1,seed
disgust,ddisgust|deesgust|diisgust|disgoost|disgusht|disgustt|disguust|dishgust,,1,seed
disgusting,ddisgusting|deesgusting|diisgusting|disgoosting|disgushting|disgusteeng|disgustiing|disgustting|disguusting|dishgusting,,1,seed
dokha,ddokha|docha|doka|dokhaa|dokhay|dokhe|dokhi|dookha|doqha,,1,seed
dumb,ddumb|doomb|duumb,,1,seed
evil,eevil|eveel|eviil,,1,seed
extortion,eextortion|extoortion|extorteeon|extortiion|extortioon|extorttion|exttortion,,1,seed
fake,faake|face|faka|fakee|faki|faqe|phake,,1,seed
filth,feelth|fiilth|filt|filtth|philth,,1,seed
filthy,feelthy|fiilthy|filthi|filtthy|filty|philthy,,1,seed
fraud,fraaud|fraood|fraudd|frauud|phraud,,1,seed
freaking,freaaking|freacing|freakeeng|freakiing|freaqing|freeaking|phreaking,,1,seed
fucker,foocker|fuccer|fuckeer|fucqer|fukker|fuucker|phucker,,1,seed
gaali,gaaali|gaala|gaale|gaalee|gaalii|gali,,1,seed
gadaar,gaadaar|gadaaar|gadar|gaddaar,,1,seed
gadhe,gaadhe|gaddhe|gade|gadha|gadhee|gadhi,,1,seed
gand,gaand|gandd,,1,seed
gandagi,gaandagi|gandaagi|gandaga|gandage|gandagee|gandagii|ganddagi,,1,seed
gandgi,gaandgi|ganddgi|gandga|gandge|gandgee|gandgii,,1,seed
gandh,gaandh|gand|ganddh,,1,seed
gandi,gaandi|ganda|ganddi|gande|gandee|gandii,,1,seed
gandu,gaandu|ganddu|gandoo|ganduu,,1,seed
gatiya,gaatiya|gateeya|gatiia|gatiiya|gatiyaa|gatiyay|gatiye|gatiyi|gattiya,,1,seed
genocide,geenocide|genoceede|genocida|genocidde|genocidee|genocidi|genociide|genokide|genoocide,,1,seed
ghamand,gamand|ghaamand|ghamaand|ghamandd,,1,seed
ghamandi,gamandi|ghaamandi|ghamaandi|ghamanda|ghamanddi|ghamande|ghamandee|ghamandii,,1,seed
ghatiya,gatiya|ghaatiya|ghateeya|ghatiia|ghatiiya|ghatiyaa|ghatiyay|ghatiye|ghatiyi|ghattiya,,1,seed
ghatiyaa,gatiyaa|ghaatiyaa|ghateeyaa|ghatiiaa|ghatiiyaa|ghatiya|ghatiyaaa|ghatiyaay|ghatiyae|ghatiyai|ghatiye|ghatiyi|ghattiyaa,,1,seed
ghotala,ghootala|ghotaala|ghotalaa|ghotalay|ghotale|ghotali|ghottala|gotala,,1,seed
haraamkhor,haaraamkhor|haraaamkhor|haraamchor|haraamkhoor|haraamkor|haraamqhor|haramkhor,,1,seed
harami,haarami|haraami|harama|harame|haramee|haramii,,1,seed
haramiyio,haaramiyio|haraamiyio|harameeyio|haramiiio|haramiiyio|haramiyeeo|haramiyia|haramiyie|haramiyiio|haramiyioo,,1,seed
haramkhoor,haaramkhoor|haraamkhoor|haramchoor|haramkhooor|haramkhur|haramkhuur|haramkoor|haramqhoor,,1,seed
haramkhor,haaramkhor|haraamkhor|haramchor|haramkhoor|haramkor|haramqhor,,1,seed
haramzade,haaramzade|haraamzade|haramzaade|haramzada|haramzadde|haramzadee|haramzadi,,1,seed
