attack,requested_rate,realised_rate,macro_f1,hate_f1
romanisation,0.0,0.0,0.6421315155886506,0.5549132947976878
character,0.0,0.0,0.6421315155886506,0.5549132947976878
romanisation,0.1,0.092,0.6428079360705429,0.5526315789473685
character,0.1,0.085,0.640644091464479,0.5459940652818991
romanisation,0.25,0.193,0.6537758537758538,0.562962962962963
character,0.25,0.18,0.622154356846473,0.5024
romanisation,0.5,0.381,0.6340970910689046,0.5213270142180095
character,0.5,0.356,0.6064160911402545,0.4524236983842011
romanisation,0.75,0.572,0.610835343268154,0.48026315789473684
character,0.75,0.532,0.5446114127987537,0.31965442764578833
romanisation,1.0,0.762,0.5940799312515346,0.44014084507042256
character,1.0,0.71,0.4800210880907062,0.1941747572815534
