model,epochs,lr,seed,macro_f1,hate_f1,f1_not,accuracy,cross_macro_f1,cross_hate_f1,final_train_loss,runtime_s
xlm-roberta-base,3,2e-05,42,0.6662358430910245,0.5889046941678521,0.743566992014197,0.6841530054644809,0.4555526085361024,0.2755031228313671,0.6114711542837484,85
xlm-roberta-base,3,2e-05,1337,0.6720181978520283,0.6089309878213802,0.7351054078826764,0.6841530054644809,0.4062295038256039,0.1580207501995211,0.578179845773497,85
xlm-roberta-base,3,2e-05,2024,0.6570416835546453,0.573082489146165,0.7410008779631255,0.6775956284153005,0.4509263963511155,0.2704946385333794,0.6217522526151749,93
google/muril-base-cased,6,2e-05,2024,0.6782437414115934,0.5875190258751902,0.7689684569479965,0.7038251366120218,0.4395670427337511,0.2272897196261682,0.4264831220218708,182
google/muril-base-cased,6,2e-05,42,0.6499807341606284,0.5183887915936952,0.7815726767275616,0.6994535519125683,0.370757420151932,0.0850701829008932,0.4376992211071164,154
google/muril-base-cased,6,2e-05,1337,0.6737045920415883,0.5727848101265823,0.7746243739565943,0.7049180327868853,0.3979709070130754,0.1661631419939577,0.5486312511185891,152
ai4bharat/IndicBERTv2-MLM-only,6,2e-05,42,0.6611669357229928,0.5574803149606299,0.7648535564853557,0.692896174863388,0.3792034917308142,0.0970625798212005,0.3446947724668219,160
ai4bharat/IndicBERTv2-MLM-only,6,2e-05,1337,0.6416578083507138,0.5390505359877489,0.7442650807136788,0.6710382513661202,0.3930566718968443,0.1266556291390728,0.4320776751468275,158
ai4bharat/IndicBERTv2-MLM-only,6,2e-05,2024,0.6665903910080948,0.6002728512960437,0.7329079307201458,0.6797814207650273,0.3837197708055965,0.1133636739760033,0.4581118704320041,161
xlm-roberta-base,3,2e-05,42,0.6662358430910245,0.5889046941678521,0.743566992014197,0.6841530054644809,0.4555526085361024,0.2755031228313671,0.6114711542837484,84
xlm-roberta-base,3,2e-05,1337,0.6720181978520283,0.6089309878213802,0.7351054078826764,0.6841530054644809,0.4062295038256039,0.1580207501995211,0.578179845773497,85
xlm-roberta-base,3,2e-05,2024,0.6570416835546453,0.573082489146165,0.7410008779631255,0.6775956284153005,0.4509263963511155,0.2704946385333794,0.6217522526151749,85
google/muril-base-cased,6,2e-05,42,0.6499807341606284,0.5183887915936952,0.7815726767275616,0.6994535519125683,0.370757420151932,0.0850701829008932,0.4376992211071164,153
xlm-roberta-base,3,2e-05,42,0.6662358430910245,0.5889046941678521,0.743566992014197,0.6841530054644809,0.4555526085361024,0.2755031228313671,0.6114711542837484,84
xlm-roberta-base,3,2e-05,1337,0.6720181978520283,0.6089309878213802,0.7351054078826764,0.6841530054644809,0.4062295038256039,0.1580207501995211,0.578179845773497,85
xlm-roberta-base,3,2e-05,2024,0.6570416835546453,0.573082489146165,0.7410008779631255,0.6775956284153005,0.4509263963511155,0.2704946385333794,0.6217522526151749,85
google/muril-base-cased,6,2e-05,42,0.6499807341606284,0.5183887915936952,0.7815726767275616,0.6994535519125683,0.370757420151932,0.0850701829008932,0.4376992211071164,152
google/muril-base-cased,6,2e-05,1337,0.6737045920415883,0.5727848101265823,0.7746243739565943,0.7049180327868853,0.3979709070130754,0.1661631419939577,0.5486312511185891,152
google/muril-base-cased,6,2e-05,2024,0.6782437414115934,0.5875190258751902,0.7689684569479965,0.7038251366120218,0.4395670427337511,0.2272897196261682,0.4264831220218708,152
xlm-roberta-base,3,2e-05,42,0.6662358430910245,0.5889046941678521,0.743566992014197,0.6841530054644809,0.4555526085361024,0.2755031228313671,0.6114711542837484,84
xlm-roberta-base,3,2e-05,1337,0.6720181978520283,0.6089309878213802,0.7351054078826764,0.6841530054644809,0.4062295038256039,0.1580207501995211,0.578179845773497,85
xlm-roberta-base,3,2e-05,2024,0.6570416835546453,0.573082489146165,0.7410008779631255,0.6775956284153005,0.4509263963511155,0.2704946385333794,0.6217522526151749,85
google/muril-base-cased,6,2e-05,42,0.6499807341606284,0.5183887915936952,0.7815726767275616,0.6994535519125683,0.370757420151932,0.0850701829008932,0.4376992211071164,152
google/muril-base-cased,6,2e-05,1337,0.6737045920415883,0.5727848101265823,0.7746243739565943,0.7049180327868853,0.3979709070130754,0.1661631419939577,0.5486312511185891,152
google/muril-base-cased,6,2e-05,2024,0.6782437414115934,0.5875190258751902,0.7689684569479965,0.7038251366120218,0.4395670427337511,0.2272897196261682,0.4264831220218708,152
xlm-roberta-base,3,2e-05,42,0.6662358430910245,0.5889046941678521,0.743566992014197,0.6841530054644809,0.4555526085361024,0.2755031228313671,0.6114711542837484,85
xlm-roberta-base,3,2e-05,1337,0.6720181978520283,0.6089309878213802,0.7351054078826764,0.6841530054644809,0.4062295038256039,0.1580207501995211,0.578179845773497,85
xlm-roberta-base,3,2e-05,2024,0.6570416835546453,0.573082489146165,0.7410008779631255,0.6775956284153005,0.4509263963511155,0.2704946385333794,0.6217522526151749,85
google/muril-base-cased,6,2e-05,42,0.6499807341606284,0.5183887915936952,0.7815726767275616,0.6994535519125683,0.370757420151932,0.0850701829008932,0.4376992211071164,153
google/muril-base-cased,6,2e-05,1337,0.6737045920415883,0.5727848101265823,0.7746243739565943,0.7049180327868853,0.3979709070130754,0.1661631419939577,0.5486312511185891,152
google/muril-base-cased,6,2e-05,2024,0.6782437414115934,0.5875190258751902,0.7689684569479965,0.7038251366120218,0.4395670427337511,0.2272897196261682,0.4264831220218708,152
