source,label,text
bohra2018,1,kitni gaand jalti hai bhai teri even srk fans hate u chutiye.
bohra2018,1,"jis chutiye ne,  bhansali ko ek thappad lagne par ""HINDU TERROR "" naam de diya tha....ye sab uski ammi ke shauhar... http://fb.me/1307Mb5nV"
bohra2018,1,"aaj wo hi @ArvindKejriwal bol rha h jisne JNU ke RasLeela Sanchalak Kanhaiya ke ""Army Rape krti h"" byan ka support kita tha.."
bohra2018,1,Tere abba ne kitne nikah kiye? 4 se jyada? Behen se bhi kiye honge? Pak me aurte rape register nahi karti roj ki baat hai naa.
bohra2018,1,Kuch indians itne ghatiya ho chuke hain k cricket ki baat kro tu terrorism k randi rone shru krdete hain
bohra2018,1,Bijnor me rape !! Insaniyat sharamsar !! Lkin wajahid k nazdeek rape jurm ni !!
bohra2018,1,"Pehle mooh kholo rape Kiya hain khud ke logone, we know why u stay at home hijab ke android kya hain"
bohra2018,1,Ab khtaam Hogaya  tum mat larna mujh sy please I hate phaday bazi
bohra2018,1,"Yeah that's why I hate salman ,pichli baar bhi salman ne bahut bola tha Gaurav Chopra ko aur side manveer manu ki leta rehta tha"
bohra2018,1,kyu madhu apne upar bhi toh film banao.ki tum kaise film mai role dene ka promise kar ke rape karte ho.pahle apne gireban mai dekho..
bohra2018,1,Mastani se had se jyada hate hai kichah kar bhi mai uss actress ko pasand nahi kar sakti jise maine badi devrani mai bahut pasand kiya tha.
bohra2018,1,Hum to lagta hai ki sanghi aur bhakt ko mandir me ye sikhaye jata h ki koi Teri behan ka rape karega to bolna meri behan ka hi galti hai.
bohra2018,1,I hate Sony Manhus channel main to dekhti hi nhi thi Bus EdKV ke liye dekha tha
bohra2018,1,I hate him isko sirf insta family dikhti hai buri baat !!
bohra2018,1,@imjadeja ..i hate u bastard..pandya ko out krwa diya khud toh kuchh maarte nahi ... jo maar raha tha use bhi out karwa diya ..
bohra2018,1,medical me rape ki pushti na hone pr bhi paid media ne kiya santo ko badnam.  #IsHumanRightAlive
bohra2018,1,To ye batao ke army ne kiya hai ya nahi aise koi kritya? Koi ghalati hui thi kya? Rape rape hi hai. Koi karega to ghalat hi hoga.
bohra2018,1,100 agreed kaash rohan winner hota...bani manu manvr winner layak nhi hai i hate kani tattoo ko pasand karte hai
bohra2018,1,Mujhe nafrat hai un logo se jo muh par bolte hain song bekar hai aur baad mai bathroom mai earphones laga kar same song par dance krte.
bohra2018,1,"Sachche deen kon? VO LOOTERE, KASAI, Ghod-sawar Mangoliye/Arab jo lootne aaye aur Hindu auratonko rape kr ke tumhe paida kiya??? https://twitter.com/NururBarkati/status/818467514178904064 …"
bohra2018,0,Kapil mishra tumhari party ki aukat dikha chuke.....kumar vishwas bhi saap saabit ho chuke h....kejriwal p aarop abhi hate nhi h.....sisodia ji delhi ki arthvyavastha sambhali nhi ja rhe desh mein kapil delhi bhi aata...tum bhi aaj apne aukat apne baat se zahir kar diye..anti pm https://twitter.com/msisodia/status/955485455662964739 …
bohra2018,0,Inki maa ka rape kr k dono randion ko kapray die baghair nikal dia tha kissi ne
bohra2018,0,Itna bara zulm. Is zulm k baad tu Hitler  khud chal k aaya hoga apna student banane k liaye.
bohra2018,0,Allahabad hate h to tapas kar diya jata h  koyi na koyi kami nikal kar
bohra2018,0,Is rape pidita ke sath poora desh hona chahiye aur mahila congress is me poorta sahyog kre aur use insaf dilaye
bohra2018,0,Do one thing yr sabse pehle @GAUAHAR_KHAN n @iamkamyapunjabi ko tag karo n dikhao unhe k kisi ko HATE krne me itna ANDHA hona achha nai h..kam se kam sach jaan k ZAHAR uglo. Inko khudka @lostboy54 n Arshi b us convo me the wo to inko dikhega nai bas HINA HINA kra lo inse #ajiblog
bohra2018,0,"han wo suit karta hai k bachiyo ka rape hota jay,log mary,ye corupt kuch na kary,dr Aliya boli to suit nai krta ap ko?"
bohra2018,0,Sab ke andar  kaam aur jiyada Dharam Ko lekar nafrat hai
bohra2018,0,"wahi to sir ji, kanoon to andha hota hae, ho sakta hae MLA ne murder karwaya ho aur ho sakta hae k MLA ko phasane k liye kisi ne."
bohra2018,0,oh....to halala krwane wlo ko bhi rape ki chinta hai...
bohra2018,0,Rupa.. Fir ye btao tumra kitna bar Rape ho gya h abi tak bangal me bhi tum bhi to bangal me hi ho.. .???
bohra2018,0,Jeet tou hum gye hai aur rahi baat terrorism ki wo ap ki motti sarkar kr rahi hai Kashmir mai https://twitter.com/chintskap/status/875447907922567170 …
bohra2018,0,Pehle ashram mai jo rape kar rahe hai baba log 16000 larkiyon ka unhe to bacha le
bohra2018,0,hate speech joote hi khilwati hai bhai . amir liaquat bhi khyga.
bohra2018,0,Wait karte raho sir ek din Hate Story bhi aayegi
bohra2018,0,Kuch to mudda Mila bat karne ka..warna tumhare govt m to ghotale aur rape chorkar aur kisi mudde pe bat hi nahi hoti thi..
bohra2018,0,Aho tumhy rape kar k barbad hona hai
bohra2018,0,Md junaid kya gazab ki talim paya ho tumne waisey kon si gattar chaap madrassa se talim liya hai pakistani research on Islamic terrorism
bohra2018,0,kuch logo ne bhansali ke kaan ke niche ek diya to .. Hindu terrorism
bohra2018,0,Yani apni patni ka rape karvane ki dharmik bhavano ka season
hasoc2021,1,"@Actor_Siddharth You said 💯 right Sir But people like these types people 
And one is the Health Minister who is sitting With Whol Gang
 in Bengal silence And everyone knows who is organizing  riot https://t.co/irNjyxTmHO"
hasoc2021,1,@sraj_khan @Rofl_Swara 😃😂😂🤣
hasoc2021,1,@RealAjazFans Dekh bro maine toh apne dharm ko criticise krne wale ko support kia hai ki wo aur criticise kare...issme andh bhakti wala baat kya hai aur tu manta hai andh bhkta toh apni ma chuda🤣
hasoc2021,1,@sushantsareen That's because idiots like you don't like criticism! And that's called democracy!
hasoc2021,1,@sambitswaraj Farzi patra
hasoc2021,1,@MahuaMoitra @paranjoygt Till then this  Mod! Ka bachcha will grow some more beared.
hasoc2021,1,@ReallySwara @BJP4India 🤣🤣🤣🤣🤣BJP is more dangerous then corona...
hasoc2021,1,"@ImranHussaain कुछ लोग नहीं केवल बीजेपी/ कांग्रेस के लोगों को आपके हर काम में टांग खैचनी होती है । वैसे अब देशको बीजेपी कांग्रेस की ज़रूरत नहीं ,बहुत जल्दी देश इस बात को मेहसूस करेगा@mgmnair @SdYadav5 @Umakant14175936 @AnkitJain9873 @UtsahVPandey @aapsur @bhatvicky73 @naijonam @rajlali @mgrg7"
hasoc2021,1,@Iamawake12 @Faizz634 Right Hindus lynch don’t behead !
hasoc2021,1,@MahuaMoitra Mahuaa Ooo Mahuaa and Didi fights with security forces.
hasoc2021,1,@jkhothi As we care and give fu©ks to you!😂
hasoc2021,1,@RoopsSaxena cant even dream that kind of money &amp; they are building a house worth that much for a useless PM
hasoc2021,1,@Rofl_Swara 😆😆😆😆😜👍
hasoc2021,1,@Profdilipmandal Jb sara din hindu dharam ko galat bolte ho tb???
hasoc2021,1,@Aadarsh_VAJPAI If he was in india probability of getting lynched is much.
hasoc2021,1,@Rofl_Swara Yogi takla ravan hai
hasoc2021,1,@Actor_Siddharth Wake up Hindus learn. don't be kind to devil.
hasoc2021,1,"@Rofl_Swara गोबर कुपत्रा के बाप होंगै
लेकिन देश का बाप कोई नही"
