model,macro_f1,hate_f1,accuracy,precision_not,recall_not,f1_not,precision_hate,recall_hate,f1_hate,cross_hasoc22_macro_f1,cross_hasoc22_hate_f1,epochs,lr,batch_size,max_len
xlm-roberta-base,0.6645648507955129,0.5652173913043478,0.6939890710382514,0.7512437810945274,0.7770154373927959,0.7639123102866779,0.5833333333333334,0.5481927710843374,0.5652173913043478,0.4479735220688496,0.2595204513399153,3,2e-05,16,128
xlm-roberta-base,0.3118143258068631,0.5306799336650083,0.3814207650273224,0.7073170731707317,0.0497427101200686,0.0929487179487179,0.3661327231121281,0.963855421686747,0.5306799336650083,0.4008625872574147,0.673159827558678,6,3e-05,16,128
xlm-roberta-base,0.3118143258068631,0.5306799336650083,0.3814207650273224,0.7073170731707317,0.0497427101200686,0.0929487179487179,0.3661327231121281,0.963855421686747,0.5306799336650083,0.4008625872574147,0.673159827558678,6,3e-05,16,128
xlm-roberta-base,0.5895276292335117,0.4078431372549019,0.6699453551912569,0.6906377204884667,0.8730703259005146,0.7712121212121212,0.5842696629213483,0.3132530120481928,0.4078431372549019,0.4602700164251295,0.3406921241050119,6,2e-05,16,128
google/muril-base-cased,0.6649071504097277,0.5429553264604811,0.7092896174863388,0.7383458646616541,0.8421955403087479,0.7868589743589743,0.632,0.4759036144578313,0.5429553264604811,0.3854810706105078,0.1183237469186524,6,2e-05,16,128
xlm-roberta-base,0.6322157749904666,0.5329341317365269,0.659016393442623,0.7340241796200345,0.7289879931389366,0.7314974182444062,0.5297619047619048,0.536144578313253,0.5329341317365269,0.4197622782036114,0.1874515879163439,20,2e-05,16,128
google/muril-base-cased,0.6374506612326718,0.5043177892918825,0.6863387978142077,0.7215568862275449,0.8267581475128645,0.7705835331734612,0.5910931174089069,0.4397590361445783,0.5043177892918825,0.3872944893923211,0.1202140798682585,20,2e-05,16,128
ai4bharat/indic-bert,0.604523843826538,0.4817749603803486,0.6426229508196721,0.7077922077922078,0.7478559176672385,0.7272727272727273,0.5083612040133779,0.4578313253012048,0.4817749603803486,0.3886756328835802,0.1423570595099183,20,2e-05,16,128
ai4bharat/indic-bert,0.5384536274327355,0.466321243523316,0.5497267759562842,0.68,0.5540308747855918,0.610586011342155,0.4090909090909091,0.5421686746987951,0.466321243523316,0.5108711297223566,0.4666836864947664,3,2e-05,16,128
ai4bharat/indic-bert,0.63976611986357,0.5374045801526718,0.6688524590163935,0.7364864864864865,0.7478559176672385,0.7421276595744681,0.544891640866873,0.5301204819277109,0.5374045801526718,0.4744191292640599,0.3961800818553888,6,2e-05,16,128
ai4bharat/indic-bert,0.604523843826538,0.4817749603803486,0.6426229508196721,0.7077922077922078,0.7478559176672385,0.7272727272727273,0.5083612040133779,0.4578313253012048,0.4817749603803486,0.3886756328835802,0.1423570595099183,20,2e-05,16,128
xlm-roberta-base,0.6645648507955129,0.5652173913043478,0.6939890710382514,0.7512437810945274,0.7770154373927959,0.7639123102866779,0.5833333333333334,0.5481927710843374,0.5652173913043478,0.4479735220688496,0.2595204513399153,3,2e-05,16,128
ai4bharat/indic-bert,0.6471651225388888,0.56657223796034,0.6655737704918033,0.756007393715342,0.7015437392795884,0.7277580071174378,0.5347593582887701,0.6024096385542169,0.56657223796034,0.465885431501651,0.3341553637484586,3,3e-05,16,128
ai4bharat/indic-bert,0.6706772778950788,0.5770992366412214,0.6972677595628415,0.7584459459459459,0.7701543739279588,0.7642553191489362,0.5851393188854489,0.5692771084337349,0.5770992366412214,0.3989114588496527,0.1504354711005542,6,3e-05,16,128
google/muril-base-cased,0.3891855807743658,0.0,0.6371584699453552,0.6371584699453552,1.0,0.7783711615487316,0.0,0.0,0.0,0.3277127244340359,0.0,6,3e-05,16,128
xlm-roberta-base,0.6645648507955129,0.5652173913043478,0.6939890710382514,0.7512437810945274,0.7770154373927959,0.7639123102866779,0.5833333333333334,0.5481927710843374,0.5652173913043478,0.4479735220688496,0.2595204513399153,3,2e-05,16,128
ai4bharat/indic-bert,0.6329492861197223,0.5033783783783784,0.6786885245901639,0.7206106870229008,0.8096054888507719,0.7625201938610663,0.573076923076923,0.4487951807228915,0.5033783783783784,0.4122120848655431,0.1893004115226337,20,3e-05,16,128
google/muril-base-cased,0.6374506612326718,0.5043177892918825,0.6863387978142077,0.7215568862275449,0.8267581475128645,0.7705835331734612,0.5910931174089069,0.4397590361445783,0.5043177892918825,0.3872944893923211,0.1202140798682585,20,2e-05,16,128
xlm-roberta-base,0.6322157749904666,0.5329341317365269,0.659016393442623,0.7340241796200345,0.7289879931389366,0.7314974182444062,0.5297619047619048,0.536144578313253,0.5329341317365269,0.4197622782036114,0.1874515879163439,20,2e-05,16,128
ai4bharat/indic-bert,0.6329492861197223,0.5033783783783784,0.6786885245901639,0.7206106870229008,0.8096054888507719,0.7625201938610663,0.573076923076923,0.4487951807228915,0.5033783783783784,0.4122120848655431,0.1893004115226337,20,3e-05,16,128
xlm-roberta-base,0.6322157749904666,0.5329341317365269,0.659016393442623,0.7340241796200345,0.7289879931389366,0.7314974182444062,0.5297619047619048,0.536144578313253,0.5329341317365269,0.4197622782036114,0.1874515879163439,20,2e-05,16,128
ai4bharat/indic-bert,0.6329492861197223,0.5033783783783784,0.6786885245901639,0.7206106870229008,0.8096054888507719,0.7625201938610663,0.573076923076923,0.4487951807228915,0.5033783783783784,0.4122120848655431,0.1893004115226337,20,3e-05,16,128
google/muril-base-cased,0.6374506612326718,0.5043177892918825,0.6863387978142077,0.7215568862275449,0.8267581475128645,0.7705835331734612,0.5910931174089069,0.4397590361445783,0.5043177892918825,0.3872944893923211,0.1202140798682585,20,2e-05,16,128
ai4bharat/indic-bert,0.6329492861197223,0.5033783783783784,0.6786885245901639,0.7206106870229008,0.8096054888507719,0.7625201938610663,0.573076923076923,0.4487951807228915,0.5033783783783784,0.4122120848655431,0.1893004115226337,20,3e-05,16,128
google/muril-base-cased,0.6374506612326718,0.5043177892918825,0.6863387978142077,0.7215568862275449,0.8267581475128645,0.7705835331734612,0.5910931174089069,0.4397590361445783,0.5043177892918825,0.3872944893923211,0.1202140798682585,20,2e-05,16,128
xlm-roberta-base,0.6322157749904666,0.5329341317365269,0.659016393442623,0.7340241796200345,0.7289879931389366,0.7314974182444062,0.5297619047619048,0.536144578313253,0.5329341317365269,0.4197622782036114,0.1874515879163439,20,2e-05,16,128
ai4bharat/indic-bert,0.6197697921835853,0.4926108374384236,0.6622950819672131,0.7147335423197492,0.7821612349914236,0.7469287469287469,0.5415162454873647,0.4518072289156626,0.4926108374384236,0.3662104529963971,0.0803722504230118,25,2e-05,16,128
xlm-roberta-base,0.6078571428571429,0.4,0.7180327868852459,0.6988984088127295,0.9794168096054888,0.8157142857142857,0.8775510204081632,0.2590361445783132,0.4,0.3287204737310848,0.0018107741059302,25,2e-05,16,128
